type,longitude,latitude,name,address,phone,risk_modifier
CAI,-74.06775426799999,4.585306923000019,CAI Laches,DG 3C 8 05 ESTE,3204577446,-0.2
CAI,-74.057354,4.711654,CAI Tierra Linda,CL 127C KR 49,3132246669,-0.2
CAI,-74.12295277099997,4.716920757000025,CAI Villas de Granada,KR 112A 77A 30,3044812664,-0.2
CAI,-74.10758769799997,4.681306305000021,CAI Villa Luz,KR 77A CL 64B,3125596896,-0.2
CAI,-74.117963713,4.651477447,CAI Granjas,KR 69B CL 21A,3132505220,-0.2
CAI,-74.07136543799999,4.623618513,CAI Teusaquillo,KR 16 AC 34,3173744038,-0.2
CAI,-74.09001,4.517569,CAI Juan Rey,KR 15 ESTE CL 74 SUR,3208067575,-0.2
CAI,-74.17938018900003,4.577777388000015,CAI Santo Domingo,CL 69A SUR KR 77C,3007865927,-0.2
CAI,-74.13902753000002,4.619153313000027,CAI Plaza de Las Américas,AV BOYACA AV 1 DE MAYO,3186958587,-0.2
CAI,-74.110292759,4.576543832000027,CAI Gustavo Restrepo,CL 31A SUR KR 13A BIS,3194661479,-0.2
CAI,-74.091532475,4.559238271000027,CAI Bello Horizonte,KR 3A ESTE 31C 07 SUR,3208443083,-0.2
CAI,-74.149078825,4.562818279,CAI San Francisco,KR 20C CL 67 SUR,3227216919,-0.2
CAI,-74.11480595699999,4.49071385000002,CAI Antonio José de Sucre,KR 5 BIS 111 25 SUR,3212235405,-0.2
CAI,-74.092548,4.572588,CAI 20 de Julio,CL 22A SUR KR 7,3115488954,-0.2
CAI,-74.097337203,4.555436000999975,CAI Guacamayas,KR 2A CL 37B SUR,3128171222,-0.2
CAI,-74.08314172500002,4.558065086,CAI Ramajal,CL 30C SUR KR 9A ESTE,3015153248,-0.2
CAI,-74.095584416,4.544212644000027,CAI La Victoria,CL 46A SUR KR 3F ESTE,3202214831,-0.2
CAI,-74.153169543,4.573294340000018,CAI Candelaria,AV CIUDAD DE VILLAVICENCIO KR 43C,3008085957,-0.2
CAI,-74.135443,4.59621,CAI La Alquería,CL 43 SUR KR 52C,3202214831,-0.2
CAI,-74.12947642300003,4.635425092999981,CAI Marsella,CL 9A KR 70,3203975418,-0.2
CAI,-74.07497693699997,4.631374375,CAI Soledad,AK 24 CL 41,3147300919,-0.2
CAI,-74.16774619900002,4.591467796000018,CAI Perdomo,DG 62A SUR KR 72,3504910683,-0.2
CAI,-74.086037654,4.537025868,CAI Altamira,CL 48 SUR 13D ESTE,3015806836,-0.2
CAI,-74.087139488,4.532582913,CAI Libertadores,CL 56 SUR 14A 11 ESTE,3044726023,-0.2
CAI,-74.02420483100002,4.763923186,CAI Codito,KR 4 CL 187A,3012123642,-0.2
CAI,-74.04034847999998,4.764441608000027,CAI Verbenal,CL 187 19 22,3115920934,-0.2
CAI,-74.09038087,4.682947556999977,CAI Las Ferias,AVENIDA CHILE KR 69J,3212029221,-0.2
CAI,-74.06452509399998,4.591620431000024,CAI Mirador,KM 3 VIA CHOACHI,3214407794,-0.2
CAI,-74.028932607,4.708470998999985,CAI Lisboa,CL 130 AK 7,3213454983,-0.2
CAI,-74.06220383800002,4.64577261300002,CAI Chapinero,CL 60 KR 9,3104938271,-0.2
CAI,-74.107215408,4.584527438,CAI Centenario,KR 24 CL 24 SUR,3223121321,-0.2
CAI,-74.075364342,4.587190616999976,CAI Girardot,CL 2A 1A 20,3116208734,-0.2
CAI,-74.07158534400003,4.589233127,CAI Guavio,CL 6 3 67 ESTE,3113684086,-0.2
CAI,-74.072303438,4.580576087,CAI Dorado,CL 1A BIS KR 8 ESTE,3014410910,-0.2
CAI,-74.08030755200002,4.595652054000027,CAI Bolivia,AK 10 CL 7,3103854262,-0.2
CAI,-74.06513794099999,4.755533948,CAI San José de Bavaria,CL 169B AV BOYACÁ,3123510972,-0.2
CAI,-74.04697354199999,4.753319260000012,CAI Villa del Prado,AUTOPISTA NORTE CL 172,3214665109,-0.2
CAI,-74.05409278500002,4.746351399,CAI Mazurén,KR 54 163 11,3102766633,-0.2
CAI,-74.08307860999997,4.749720626,CAI El Pinar,AC 153 KR 92,3102349011,-0.2
CAI,-74.11025050900002,4.753877062000015,CAI Fontanar del Río,KR 136A AC 145,3053164863,-0.2
CAI,-74.065331,4.701034,CAI Alhambra,AC 116 KR 54B,3012088717,-0.2
CAI,-74.066182,4.692092,CAI Andes,AV SUBA 104 10,3507652000,-0.2
CAI,-74.09162814400003,4.72354384099998,CAI Rincón,KR 93 CL 128C,3144552494,-0.2
CAI,-74.10796552900001,4.74538494799998,CAI Gaitana,CL 139 126C 02,3103206664,-0.2
CAI,-74.067679425,4.721322217000022,CAI Colina Campestre,CL 131 58 02,3142953375,-0.2
CAI,-74.112530682,4.724261091000017,CAI Ciudadela Colsubsidio,KR 111C CL 86A,3102570046,-0.2
CAI,-74.102335,4.716035,CAI Bachué,KR 95D 88 65,3058177306,-0.2
CAI,-74.09424925000002,4.710029707,CAI Serena,AC 90 AV CIUDAD DE CALI,3053721066,-0.2
CAI,-74.141697,4.715744,CAI Engativá,KR 123 64 65,3186808876,-0.2
CAI,-74.10720436499997,4.706265272999985,CAI Quirigua,AC 80 TV 94,3117005000,-0.2
CAI,-74.12913551499997,4.703479158999983,CAI Jaboque,KR 110 BIS CL 67A,3108592359,-0.2
CAI,-74.117279,4.690173,CAI Álamos,TV 93 CL 64G,3183894034,-0.2
CAI,-74.11099018300001,4.693687507,CAI Florida,KR 90 CL 69A,3212145123,-0.2
CAI,-74.09662018900002,4.693595029999983,CAI Santa María del Lago,KR 76 75 26,3215651860,-0.2
CAI,-74.107506431,4.670224097000016,CAI Normandía,AV BOYACA CL 52 BIS,3108763045,-0.2
CAI,-74.14349959700002,4.685039604,CAI Versalles,KR 109 CL 23 31,3174404861,-0.2
CAI,-74.15649014899998,4.67071821899998,CAI Sabana Grande,KR 106 CL 14A,3204420054,-0.2
CAI,-74.154427753,4.681688765,CAI Macarena,KR 114 16 99,3115125590,-0.2
CAI,-74.138134734,4.671123874999978,CAI Santander,KR 96C CL 20D,3233627881,-0.2
CAI,-74.118374055,4.665041060000021,CAI Modelia,KR 74 AV ESPERANZA,3204236251,-0.2
CAI,-74.127171,4.661898,CAI Hayuelos,AC 22 KR 80D,3197763384,-0.2
CAI,-74.10811377300001,4.656037347,CAI Ciudad Salitre,CL 25 CRA 68D,3002360741,-0.2
CAI,-74.072026289,4.684615940000015,CAI Rionegro,CL 94 65A 15,3152797733,-0.2
CAI,-74.06275347899998,4.674977900999977,CAI Polo Club,AK 24 CL 86A,3116657394,-0.2
CAI,-74.068239677,4.661769443000026,CAI Alcázares,CL 71 AK 24,3108747279,-0.2
CAI,-74.07707074799998,4.65828425,CAI 7 de Agosto,CL 64 28B 09,3112307059,-0.2
CAI,-74.162976002,4.5684167,CAI Arborizadora Alta,KR 42 CL 73 SUR,3177094092,-0.2
CAI,-74.16328832099998,4.549305983000011,CAI Paraíso,CL 71P SUR 27L 15,3155446711,-0.2
CAI,-74.146445997,4.557227757000021,CAI Compartir,CL 66 BIS SUR 18T 14,3505922233,-0.2
CAI,-74.14084658799999,4.5538899,CAI Lucero,DG 64A BIS SUR 17G 68,3106139297,-0.2
CAI,-74.14931462099997,4.546978524,CAI Vista Hermosa,DG 71B SUR 18I 60,3208315146,-0.2
CAI,-74.14437856799998,4.537309400000026,CAI La Joya,CL 80A SUR TV 18B BIS B,3174301725,-0.2
CAI,-74.11337789999999,4.537335,CAI Danubio Azul,DG 59 SUR KR 2C BIS,3118848016,-0.2
CAI,-74.11745642900001,4.530656852,CAI Santa Marta,KR 11 CL 67A BIS SUR,3213444669,-0.2
CAI,-74.121633449,4.519826701,CAI La Aurora,CL 71F SUR AV BOYACA,3152061538,-0.2
CAI,-74.109398806,4.509750204999989,CAI Santa Librada,KR 8 80 10 SUR,3222370712,-0.2
CAI,-74.109903352,4.501633541999979,CAI Yomasa,CL 91 SUR 5 33,3206829947,-0.2
CAI,-74.12544817700001,4.471904423000012,CAI Usme,KR 14A CL 137B SUR,3013869851,-0.2
CAI,-74.110465567,4.601347002000011,CAI Santa Matilde,AC 8 SUR KR 35A,3124182807,-0.2
CAI,-74.128193883,4.60912125599998,CAI El Tejar,AV 1 MAYO AK 68,3203402192,-0.2
CAI,-74.120588801,4.592077188000019,CAI Villa Mayor,CL 36 SUR KR 34C,3232924935,-0.2
CAI,-74.10475337100002,4.58939138300002,CAI Valvanera,CL 17A SUR 24G 18,3003549145,-0.2
CAI,-74.09787118399998,4.586823949,CAI Restrepo,TV 18 BIS CL 13A SUR,3506447836,-0.2
CAI,-74.09027923500003,4.582116975000019,CAI Ciudad Berna,CL 11 SUR 10 03,3165387983,-0.2
CAI,-74.05827756999997,4.796297775000028,CAI Guaymaral,PARQUE 10 URBANIZACIÓN TORREMOLINOS,3206829947,-0.2
CAI,-74.17549235400003,4.643928276,CAI Bellavista,CL 42A SUR 95 01,3146777612,-0.2
CAI,-74.141182384,4.642364848999989,CAI Castilla,CL 9 78C 14,3112724318,-0.2
CAI,-74.15461590199999,4.644828296000014,CAI Tintal,CL 6D KR 87A,3134070555,-0.2
CAI,-74.16112702499998,4.639021968,CAI Patio Bonito,KR 87 CL 26 SUR,3195296462,-0.2
CAI,-74.15558491399997,4.633065666,CAI Caldas,TV 80G DG 38 SUR,3105812915,-0.2
CAI,-74.16915318000002,4.621017919,CAI Britalia,CL 46 SUR 80D 63,3105375816,-0.2
CAI,-74.17560249799999,4.613436838999974,CAI Roma,AK 80 DG 55A SUR,3135735383,-0.2
CAI,-74.16607433399997,4.607960158000026,CAI Socorro,CL 49 SUR 77P 52,3135676992,-0.2
CAI,-74.15783987200001,4.607683722,CAI Timiza,CL 43 SUR KR 73A,3115220044,-0.2
CAI,-74.13546168300002,4.609965714,CAI Villa Claudia,KR 68I CL 34 SUR,3195381383,-0.2
CAI,-74.14516542500002,4.599088038,CAI Delicias,AV BOYACA 44 03 SUR,6017109606,-0.2
CAI,-74.147315,4.626064,CAI Techo,KR 78B CL 6 SUR,3104197022,-0.2
CAI,-74.14513277100002,4.619050451000021,CAI Oneida,AV 1 DE MAYO KR 35B SUR,3245609465,-0.2
CAI,-74.20148229900002,4.632981691999987,CAI Metrovivienda,KR 97C CL 70A SUR,3203230403,-0.2
CAI,-74.191785,4.626118,CAI La Libertad,AC 59C SUR KR 88C,3138016591,-0.2
CAI,-74.17913633799998,4.63005743399998,CAI Brasilia,KR 87J CL 49C 25 SUR,3504161440,-0.2
CAI,-74.187222,4.612973,CAI Antonia Santos,KR 81G CL 63 SUR,3012978925,-0.2
CAI,-74.206269453,4.611150704000011,CAI San José,CL 80 SUR KR 79A,3213426829,-0.2
CAI,-74.19029451799997,4.602235361,CAI Piamonte,KR 78C 69B 19 SUR,3202765298,-0.2
CAI,-74.19752976199999,4.608149914000023,CAI Laureles,KR 80J CL 72C SUR,3102397847,-0.2
CAI,-74.18008286600002,4.597350625999979,CAI La Estación,AUTOPISTA SUR 63 09 SUR,3187276454,-0.2
CAI,-74.16249729100002,4.599805036000021,CAI Villa del Río,CL 57B SUR AV CIUDAD DE VILLAVICENCIO,3217780737,-0.2
CAI,-74.127269,4.583296,CAI Claret,AC 44 SUR KR 27,3505645524,-0.2
CAI,-74.07952283399999,4.667894615000023,CAI Modelo,AK 68 56B 41,3012487001,-0.2
CAI,-74.090647,4.646207,CAI La Esmeralda,CL 44C KR 54,3143874740,-0.2
CAI,-74.08312161499998,4.649409330000026,CAI Federmán,KR 45 58A 10,3168045986,-0.2
CAI,-74.074534776,4.641696536999973,CAI Galerías,AC 53 25 01,3124946705,-0.2
CAI,-74.068764,4.648052,CAI San Luis,KR 18 CL 60,3133489231,-0.2
CAI,-74.07851062999998,4.618433064999977,CAI Samper Mendoza,CL 24 KR 19B,3233631147,-0.2
CAI,-74.08649699799997,4.612974856,CAI Paloquemao,KR 25 15 97,3132224889,-0.2
CAI,-74.09350563499999,4.608970396000018,CAI Ricaurte,KR 28 9 85,3232524202,-0.2
CAI,-74.09998182499999,4.598901328000011,CAI Santa Isabel,AK 27 CL 1G,,-0.2
CAI,-74.10841356700001,4.631520877000014,CAI Puente Aranda,KR 55 CL 15,3203402192,-0.2
CAI,-74.11900172700001,4.620217162000017,CAI Galán,KR 56 CL 4,3105838571,-0.2
CAI,-74.106276,4.619104,CAI Gorgonzola,AC 6 TV 42A,3208841536,-0.2
CAI,-74.05525234700002,4.695586175000017,CAI Navarra,AUTOPISTA NORTE 106B 96,3148671231,-0.2
CAI,-74.051274,4.702021,CAI Unicentro,CL 122 20 15,3175112473,-0.2
CAI,-74.03128581200002,4.693112886999984,CAI Santa Bárbara,KR 6 CL 116,3115158664,-0.2
CAI,-74.02674374700001,4.675960993,CAI La Calera,KM 3 VIA LA CALERA,3102806149,-0.2
CAI,-74.05399442700002,4.673205600000017,CAI El Virrey,KR 15 CL 88,3152201698,-0.2
CAI,-74.04999921400002,4.670353453000018,CAI Estadero,AK 11 CL 87A,3503771153,-0.2
CAI,-74.055775327,4.661861400000021,CAI Oxy,AK 11 CL 77,3148054884,-0.2
CAI,-74.049072894,4.656132393,CAI Rosales,AV CIRCUNVALAR 76 11,3205765899,-0.2
CAI,-74.05594323000003,4.655242711000028,CAI Avenida Chile,AV CHILE KR 7,3222243706,-0.2
CAI,-74.06191521300002,4.649807873999976,CAI Lourdes,CL 64 KR 10,3203065712,-0.2
CAI,-74.05672162600001,4.646974250000028,CAI Granada,KR 4 64 22,3176071957,-0.2
CAI,-74.06983117200002,4.612024367,CAI San Diego,KR 7 AC 26,3115308363,-0.2
CAI,-74.069318984,4.618520514000011,CAI Telecom,CL 32 KR 13 41,3125182544,-0.2
CAI,-74.07444631300001,4.605458796,CAI Colseguros,KR 10 17 54,3214134308,-0.2
CAI,-74.06676509200003,4.606159011999978,CAI Torres Blancas,KR 3 22 55,3008546787,-0.2
CAI,-74.061927,4.604057,CAI Monserrate,AV CIRCUNVALAR CL 20,3138991429,-0.2
CAI,-74.07142750399998,4.600518901999976,CAI Rosario,AV JIMENEZ KR 5,3138116186,-0.2
CAI,-74.08120724899999,4.601432612999986,CAI San Victorino,AV CARACAS CL 10,3508395780,-0.2
CAI,-74.08146017799999,4.589521165,CAI Las Cruces,KR 8 CL 2,3057673707,-0.2
CAI,-74.104554699,4.491715425999985,CAI Nuevo Porvenir,KR 5B ESTE 100 20 SUR,3134126735,-0.2
CAI,-74.096124,4.734326,CAI Aures,KR 101 131C 38,3208531982,-0.2
CAI,-74.12179505,4.569500896000022,CAI San Jorge,DG 45F SUR 13G 40,3023589287,-0.2
CAI,-74.107209211,4.564102599000023,CAI Lomas,KR 9G 37 90,3204455042,-0.2
CAI,-74.11764054600002,4.555026301,CAI Los Molinos,KR 5U CL 49D BIS SUR,3013221938,-0.2
CAI,-74.105634668,4.545396636000021,CAI Diana Turbay,CL 48X SUR KR 1,3007815456,-0.2
CAI,-74.110639457,4.542212990999985,CAI Palermo Sur,TV 2D BIS CL 52 SUR,3168103987,-0.2
CAI,-74.13839817000002,4.58997129,CAI Venecia,TV 44 DG 50B SUR,3115417845,-0.2
CAI,-74.13047404100001,4.57663428799998,CAI Tunal,AK 24 CL 48C SUR,3052912972,-0.2
CAI,-74.12969226799999,4.567298779999987,CAI San Carlos,DG 51 SUR 18 A 40,3143257135,-0.2
CAI,-74.08455058499999,4.585620655000014,CAI Distrital,CL 1C SUR KR 8,3173488350,-0.2
CAI,-74.02257067599999,4.737775390000024,CAI Villa Nidia,CL 163A 6A 25,3504884036,-0.2
CAI,-74.03969550199997,4.743689636999989,CAI Toberín,CL 164 KR 16C,3222087457,-0.2
CAI,-74.046903036,4.720613421,CAI Contador,AK 19 136 31,3148671231,-0.2
Estacion_Policia,-74.05839031199997,4.641612697000028,Estación de Policía Chapinero,KR 2 56 40,3143550776,-0.3
Estacion_Policia,-74.08586751899998,4.57002709,Estación de Policía San Cristóbal,AV 1 DE MAYO 1 90 ESTE,3502150328,-0.3
Estacion_Policia,-74.11055632699998,4.585383203999982,Estación de Policía Rafael Uribe Uribe,CL 27 SUR 24H 39,3203024427,-0.3
Estacion_Policia,-74.14177614599998,4.694931578000023,Estación de Policía Aeropuerto,AV EL DORADO 103 09,4397070,-0.3
Estacion_Policia,-74.114540309,4.65113063299998,Estación de Policía Terminal,DG 22A 68D 90 MODULO 5 LOCAL 101,4233630,-0.3
Estacion_Policia,-74.066364,4.615283,Estación de Policía Santa Fe,KR 5 29 40,3203021449,-0.3
Estacion_Policia,-74.10313454200002,4.585608036,Estación de Policía Antonio Nariño,KR 24 18 90 SUR,3502150333,-0.3
Estacion_Policia,-74.08186178199998,4.673811996999973,Estación de Policía Barrios Unidos,AVENIDA CHILE 62 81,3002326359,-0.3
Estacion_Policia,-74.18678724699998,4.600156611999978,Estación de Policía Bosa,CL 65 SUR 77N 23,3502150329,-0.3
Estacion_Policia,-74.16465861299997,4.577478176999989,Estación de Policía Ciudad Bolívar,DG 70 SUR 54 22,3203016935,-0.3
Estacion_Policia,-74.102676,4.690011,Estación de Policía Engativá,KR 78A 70 54,3502150296,-0.3
Estacion_Policia,-74.14872512599999,4.667688479,Estación de Policía Fontibón,KR 98 16B 50,3203121620,-0.3
Estacion_Policia,-74.15957197900002,4.619553241,Estación de Policía Kennedy,CL 41D SUR 78N 05,3503150315,-0.3
Estacion_Policia,-74.08862630300001,4.60892794,Estación de Policía Los Mártires,KR 24 12 32,3103469776,-0.3
Estacion_Policia,-74.102759016,4.617554099000017,Estación de Policía Puente Aranda,KR 39 10 25,3203078648,-0.3
Estacion_Policia,-74.08531128599998,4.741413844000022,Estación de Policía Suba,KR 92 146C 49,314357195,-0.3
Estacion_Policia,-74.066643661,4.627500880000014,Estación de Policía Teusaquillo,KR 13 40A 26,3203051839,-0.3
Estacion_Policia,-74.13331834000002,4.58605127300001,Estación de Policía Tunjuelito,AK JORGE GAITAN CORTES 48C 09 SUR,3203074859,-0.3
Estacion_Policia,-74.026732031,4.74153736400001,Estación de Policía Usaquén,CL 165 8A 43,3203026487,-0.3
Estacion_Policia,-74.117745721,4.50100777900002,Estación de Policía Usme,KR 14 99 55 SUR,3203027759,-0.3
Estacion_Policia,-74.07891564300002,4.591418751,Estación de Policía La Candelaría,KR 7 6A 12,3203088721,-0.3
